ANIO_ESTAD,ENT_REGIS,MES_ENTREV,DIA_ENTREV,SEXO,EDAD,ENT_RESID,MUN_RESID,PAIS_RESID,NACIONALID,PAIS_EXTRA,ESCOLARIDA,COND_ESCOL,OCUPACION,LENGUA_1,LENGUA_2,LENGUA_3,ESTIM_FAM,PRIM_VISIT,VISIT_ANIO,ANIOS_VISI,VIS_OTROS,VISO_CUANT,MEDIO_1,MEDIO_2,PLAN_VISIT,MV_ACOMP,MV_CULTURA,MV_APREND,MV_ESCOLAR,MV_LABORAL,MV_CONOCER,MV_ENTRETE,MV_EDIFICI,MV_TALLER,MV_OTRO,MEDIO_TRAN,TIEMPO_TRA,TIPO_ENTRA,PAV_NADIE,PAV_FAMILI,PAV_PAREJA,PAV_AMIGO,PAV_COMPA,PAV_ESCOLA,PAV_TURIST,PAV_OTRO,TAM_GRUPO,MENORES_12,SU_SALAS,SU_TIENDA,SU_VISGUIA,SU_AUDIOG,SU_TALLER,SU_ACADEM,SU_ACULTUR,SU_BIBLIOT,SU_ARCHIVO,SU_SILLA,SU_OTRO,OPIN_EXPOS,NIV_APREND,DUR_VIS_H,DUR_VIS_M,REPETIR_VI,RECOMIE_VI,EVAL_GRAL,M_NOVIS_1,M_NOVIS_2,M_NOVIS_3
2023,01,7,2,1,28,01,001,000,1,000,9,1,4,1,,,1,2,00,01,1,02,07,,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,35,1,13,9,05,,
2023,01,7,1,2,36,24,028,000,1,000,9,1,2,1,,,1,2,00,03,1,04,03,,2,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,001,001,1,0,0,0,0,0,0,0,0,0,0,1,10,0,40,1,12,8,08,06,
2023,01,7,1,2,29,21,114,000,1,000,9,1,4,2,1,,1,1,,,1,02,11,,2,0,1,0,0,0,0,0,0,0,0,6,1,1,0,1,0,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,08,0,20,1,11,9,02,,
2023,01,7,1,2,21,01,001,000,1,000,9,2,11,1,,,1,1,,,2,,03,,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,002,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,20,1,12,10,03,,
2023,01,7,2,2,58,19,039,000,1,000,7,1,11,1,,,1,1,,,1,03,04,,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,004,001,1,0,0,0,0,0,0,0,0,0,0,1,09,0,30,1,12,8,03,,
2023,01,7,1,2,34,24,028,000,1,000,10,1,2,2,1,,2,1,,,2,,07,,2,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,1,0,0,0,0,004,000,1,0,0,0,0,0,0,0,0,0,0,1,09,0,10,1,13,10,08,,
2023,01,7,2,1,31,15,106,000,1,000,7,2,4,1,,,1,2,00,06,1,02,10,,2,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,3,08,0,40,1,14,10,09,,
2023,01,7,2,1,43,01,001,000,1,000,10,1,1,1,,,1,1,,,1,08,03,,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,003,002,1,0,0,0,0,0,0,0,0,0,0,1,09,0,40,1,15,10,07,,
2023,01,7,2,1,30,01,001,000,1,000,9,1,2,1,,,2,1,,,1,04,03,,2,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,002,001,1,0,0,0,0,0,0,0,0,0,0,2,08,0,20,1,12,8,07,,
2023,01,7,2,2,70,03,003,000,1,000,7,2,11,1,,,2,1,,,2,,03,,2,0,0,1,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,003,000,1,0,0,0,0,0,0,0,0,0,0,2,10,1,10,1,12,9,07,,
2023,01,7,2,1,35,14,039,000,1,000,4,2,4,1,,,2,1,,,1,02,04,,2,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,1,0,0,0,0,002,001,1,0,0,0,0,0,0,0,0,0,0,1,08,0,15,1,11,10,09,,
2023,01,7,2,1,21,09,002,000,1,000,9,2,11,2,1,,1,1,,,1,25,03,,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,003,001,1,0,0,0,0,0,0,0,0,0,0,1,10,0,30,1,14,10,08,07,
2023,01,7,2,1,39,16,053,000,1,000,7,1,4,1,,,1,2,00,03,1,02,07,,1,0,0,0,0,0,1,1,0,0,0,3,2,2,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,2,08,0,25,1,14,8,07,,
2023,01,7,2,1,21,11,015,000,1,000,9,1,2,1,,,1,1,,,1,05,06,,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,003,000,1,0,0,0,0,0,0,0,0,0,0,5,06,0,30,1,12,9,09,,
2023,01,7,2,1,33,01,001,000,1,000,9,1,9,1,,,1,2,00,19,2,,02,,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,003,001,1,0,0,0,0,0,0,0,0,0,0,2,04,0,15,1,12,10,08,,
2023,01,7,1,1,25,01,001,000,1,000,8,2,9,1,,,2,1,,,1,03,11,,2,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,2,07,0,20,1,15,9,05,06,
2023,01,7,1,2,24,22,014,000,1,000,9,2,5,1,,,1,1,,,1,03,06,,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,2,10,0,20,1,11,10,09,,
2023,01,7,2,2,34,09,015,000,1,000,10,1,2,2,1,,1,1,,,1,05,06,,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,001,000,1,1,0,0,0,0,0,0,0,0,0,1,09,0,10,1,11,10,04,,
2023,01,7,1,1,60,11,017,000,1,000,9,1,2,1,,,1,1,,,1,06,03,,2,0,0,0,0,0,0,1,1,0,0,3,2,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,1,09,0,30,1,15,9,09,,
2023,01,7,1,1,19,01,007,000,1,000,7,1,8,1,,,2,1,,,2,,03,,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,002,001,1,0,0,0,0,0,0,0,0,0,0,2,08,0,10,1,15,8,07,,
2023,01,7,1,1,43,32,036,000,1,000,9,1,2,2,1,,1,1,,,1,02,03,,2,0,1,0,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,003,001,1,0,0,0,0,0,0,0,0,0,0,2,07,0,40,1,14,9,03,,
2023,01,7,1,2,30,27,004,000,1,000,9,1,2,2,1,,1,2,00,03,1,06,03,,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,002,000,1,0,0,0,0,0,0,0,0,0,0,2,07,0,15,1,11,8,07,05,
2023,01,7,1,2,42,28,032,000,1,000,9,1,2,1,,,1,1,,,1,03,09,,2,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,002,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,14,10,04,03,
2023,01,7,2,1,32,14,039,000,1,000,4,2,4,1,,,2,1,,,2,,05,,2,0,0,1,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,3,07,0,10,1,12,9,01,,
2023,01,7,2,2,33,01,001,000,1,000,9,1,2,1,,,2,1,,,2,,05,,2,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,2,09,0,45,1,11,10,03,,
2023,01,7,1,2,43,33,000,221,2,221,9,1,4,2,1,,2,1,,,1,01,10,,2,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,08,0,20,1,13,9,08,07,
2023,01,7,1,2,20,01,001,000,1,000,4,1,2,1,,,2,1,,,2,,03,,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,003,001,1,0,0,0,0,0,0,0,0,0,0,1,10,0,20,1,13,8,09,,
2023,01,7,1,1,23,05,018,000,1,000,7,1,11,1,,,2,1,,,1,02,05,,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,09,0,20,1,13,8,01,,
2023,01,7,1,2,43,21,114,000,1,000,9,1,2,1,,,1,1,,,1,02,06,,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,003,000,1,0,0,0,0,0,0,0,0,0,0,1,09,0,25,1,13,9,06,,
2023,01,7,2,2,17,01,001,000,1,000,7,1,11,1,,,2,1,,,2,,06,,2,0,0,0,1,0,0,0,0,0,0,4,1,2,0,0,0,1,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,09,0,40,1,13,9,08,,
2023,01,7,2,2,27,17,999,000,1,000,9,1,8,1,,,1,2,00,02,1,03,07,,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,35,1,15,8,06,,
2023,01,7,1,1,56,01,001,000,1,000,9,1,2,2,1,,1,2,01,00,1,03,02,,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,003,000,1,0,0,0,0,0,0,0,0,0,0,1,09,0,30,1,13,9,07,,
2023,01,7,1,2,20,01,001,000,1,000,9,2,11,1,,,2,1,,,1,03,06,,2,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,003,000,1,0,0,0,0,0,0,0,0,0,0,2,07,0,30,1,15,8,06,,
2023,01,7,1,2,19,01,001,000,1,000,9,2,11,2,1,,1,2,01,00,1,10,01,,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,05,0,10,1,11,7,09,,
2023,01,7,1,2,24,13,048,000,1,000,9,1,2,1,,,2,1,,,1,02,06,,2,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,07,0,15,1,11,8,09,,
2023,01,7,1,2,42,09,999,000,1,000,7,1,11,1,,,1,1,,,1,01,11,,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,15,1,11,9,04,09,
2023,01,7,1,2,37,02,001,000,1,000,9,1,2,2,1,,1,1,,,1,05,06,,2,0,1,0,0,0,1,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,10,1,10,1,14,10,09,08,
2023,01,7,1,2,18,01,001,000,1,000,7,1,11,2,1,,1,1,,,1,01,06,,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,08,0,30,1,13,8,05,,
2023,01,7,1,2,65,22,014,000,1,000,9,1,2,1,,,1,2,01,00,1,07,05,,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,004,001,1,0,0,0,0,0,0,0,0,0,0,1,09,0,25,1,15,9,05,,
2023,01,7,1,2,70,19,026,000,1,000,9,2,11,1,,,2,1,,,2,,05,,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,004,001,1,0,0,0,0,0,0,0,0,0,0,2,08,0,20,1,13,9,08,07,
2023,01,7,1,1,79,01,001,000,1,000,7,1,11,1,,,2,1,,,2,,03,,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,20,1,12,8,01,,
2023,01,7,1,2,37,01,001,000,1,000,9,1,2,1,,,2,1,,,2,,05,,2,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,002,000,1,0,0,0,0,0,0,0,0,0,0,1,08,0,20,1,11,10,03,,
2023,01,7,1,1,40,25,012,000,1,000,9,1,2,2,1,,2,1,,,1,02,05,,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,004,000,1,0,0,0,0,0,0,0,0,0,0,1,10,0,20,1,14,9,07,,
2023,01,7,1,1,19,01,001,000,1,000,7,1,98,1,,,2,2,00,02,2,,08,,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,09,0,40,1,15,9,08,09,
2023,01,7,1,2,53,09,999,000,1,000,7,1,4,1,,,1,1,,,1,06,10,,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,007,004,1,0,0,0,0,0,0,0,0,0,0,1,09,0,35,1,11,10,08,,
2023,01,7,1,1,39,26,043,000,1,000,7,1,8,1,,,1,1,,,1,02,03,,1,0,0,0,0,0,0,1,1,0,0,3,2,1,0,1,0,0,0,0,0,0,002,000,1,0,0,0,0,0,0,0,0,0,0,2,09,0,35,1,11,9,05,04,
2023,01,7,1,1,50,18,017,000,1,000,9,1,4,2,1,,2,1,,,1,04,05,,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,09,0,15,1,11,8,06,,
2023,01,10,2,2,22,01,003,000,1,000,7,1,3,1,,,2,2,01,00,2,,11,,1,0,0,0,0,0,0,1,0,0,0,2,3,1,0,0,0,1,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,03,0,30,1,14,5,05,,
2023,01,10,1,2,43,01,001,000,1,000,9,1,3,3,2,1,1,2,01,00,1,04,03,,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,001,001,1,0,0,0,0,0,0,0,0,0,0,2,08,0,40,1,15,9,06,04,
2023,01,7,1,1,28,30,193,000,1,000,9,1,11,1,,,2,1,,,2,,11,,2,0,0,0,0,0,0,0,1,0,0,4,1,1,1,0,0,0,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,0,1,09,0,10,1,15,8,08,,
2023,01,7,1,2,49,09,007,000,1,000,9,1,11,1,,,1,1,,,1,01,06,,2,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,005,002,1,0,0,0,0,0,0,0,0,0,0,1,08,0,40,1,14,9,05,,
2023,01,7,1,2,27,05,025,000,1,000,10,2,11,1,,,1,2,00,05,1,08,03,,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,005,000,1,0,0,0,0,0,0,0,0,0,0,1,09,0,20,1,14,9,01,,
2023,01,7,1,2,48,01,003,000,1,000,9,1,2,1,,,1,2,00,01,1,07,10,,1,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,1,10,0,20,1,12,10,09,,
2023,01,10,1,2,42,01,001,000,1,000,9,1,4,1,,,2,1,,,1,01,07,,2,0,0,0,0,0,1,0,0,0,0,4,2,1,0,1,0,0,0,0,0,0,001,001,1,0,0,0,0,0,0,0,0,0,0,2,07,0,10,1,12,7,06,,
2023,01,10,1,2,64,14,039,000,1,000,9,1,2,2,1,,1,1,,,1,08,05,,1,0,0,1,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,007,000,1,0,0,0,0,0,0,0,0,0,0,2,09,0,40,1,12,10,02,,
2023,01,10,1,1,38,24,028,000,1,000,9,1,4,1,,,1,1,,,1,02,05,,2,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,2,10,0,35,1,15,10,03,,
2023,01,10,1,2,54,01,001,000,1,000,5,1,4,1,,,2,1,,,2,,02,,2,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,13,9,09,08,
2023,01,7,1,1,42,10,005,000,1,000,7,1,4,1,,,2,1,,,2,,07,,1,0,0,0,0,0,1,1,0,0,0,3,2,1,0,1,0,0,0,0,0,0,004,001,1,0,0,0,0,0,0,0,0,0,0,1,08,0,30,1,15,9,03,,
2023,01,7,1,2,29,01,001,000,1,000,7,1,8,1,,,2,1,,,2,,07,,2,0,0,0,0,0,1,0,0,0,0,5,2,1,0,0,0,1,0,0,0,0,001,000,1,0,0,0,0,0,0,0,0,0,0,1,09,0,40,1,15,8,05,,
